## Fri Feb 17 08:44:46 2023
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_fpvubl7r --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_fpvubl7r --override -m diamond --dmnd_ignore_warnings -i /emapper_web_jobs/emapper_jobs/user_data/MM_fpvubl7r/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype CDS --translate --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
bll4898	224911.27353163	3.53e-312	850.0	COG4857@1|root,COG4857@2|Bacteria,1MXBW@1224|Proteobacteria,2TR0Z@28211|Alphaproteobacteria,3JR7F@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	S	Catalyzes the phosphorylation of methylthioribose into methylthioribose-1-phosphate	mtnK	-	2.7.1.100	ko:K00899	ko00270,ko01100,map00270,map01100	M00034	R04143	RC00002,RC00078	ko00000,ko00001,ko00002,ko01000	-	-	-	APH
bll4899	224911.27353164	2.43e-76	228.0	2A7F4@1|root,30WCM@2|Bacteria,1RDNR@1224|Proteobacteria,2U7FD@28211|Alphaproteobacteria,3JYUZ@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	-	-	MA20_37280	-	-	-	-	-	-	-	-	-	-	-	-
bsl4900	224911.27353165	1.79e-60	186.0	COG5454@1|root,COG5454@2|Bacteria,1N6T0@1224|Proteobacteria,2UF4C@28211|Alphaproteobacteria,3JZFS@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	S	Protein of unknown function (DUF1467)	MA20_37275	-	-	-	-	-	-	-	-	-	-	-	DUF1467
bll4901	224911.27353166	3.22e-90	264.0	COG0346@1|root,COG0346@2|Bacteria,1RCYU@1224|Proteobacteria,2U728@28211|Alphaproteobacteria,3JY01@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	E	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	mce	-	5.1.99.1	ko:K05606	ko00280,ko00630,ko00640,ko00720,ko01100,ko01120,ko01200,map00280,map00630,map00640,map00720,map01100,map01120,map01200	M00373,M00375,M00376,M00741	R02765,R09979	RC00780,RC02739	ko00000,ko00001,ko00002,ko01000	-	-	-	Glyoxalase_4
bll4902	224911.27353167	0.0	1101.0	COG0595@1|root,COG0595@2|Bacteria,1MUGV@1224|Proteobacteria,2TQTR@28211|Alphaproteobacteria,3JRQE@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	S	Zn-dependent metallo-hydrolase RNA specificity domain	rnjA	-	-	ko:K12574	ko03018,map03018	-	-	-	ko00000,ko00001,ko01000,ko03019	-	-	-	Lactamase_B,Lactamase_B_2,RMMBL
bll4903	224911.27353168	1.96e-184	513.0	COG0340@1|root,COG0340@2|Bacteria,1MWCC@1224|Proteobacteria,2TS82@28211|Alphaproteobacteria,3JR9E@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	H	Biotin protein ligase C terminal domain	birA	-	6.3.4.15	ko:K03524	ko00780,ko01100,map00780,map01100	-	R01074,R05145	RC00043,RC00070,RC00096,RC02896	ko00000,ko00001,ko01000,ko03000	-	-	-	BPL_C,BPL_LplA_LipB
bll4904	224911.27353169	0.0	869.0	COG1007@1|root,COG1007@2|Bacteria,1MV56@1224|Proteobacteria,2TQMX@28211|Alphaproteobacteria,3JSRU@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	C	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient	nuoN	-	1.6.5.3	ko:K00343	ko00190,ko01100,map00190,map01100	M00144	R11945	RC00061	ko00000,ko00001,ko00002,ko01000	3.D.1	-	-	Proton_antipo_M
bll4905	224911.27353170	0.0	977.0	COG1008@1|root,COG1008@2|Bacteria,1MV7V@1224|Proteobacteria,2TSNK@28211|Alphaproteobacteria,3JTNA@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	C	NADH-ubiquinone oxidoreductase chain 4, amino terminus	nuoM	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	1.6.5.3	ko:K00342	ko00190,ko01100,map00190,map01100	M00144	R11945	RC00061	ko00000,ko00001,ko00002,ko01000	3.D.1	-	-	Oxidored_q5_N,Proton_antipo_M
bll4906	224911.27353171	0.0	1321.0	COG1009@1|root,COG1009@2|Bacteria,1MW2M@1224|Proteobacteria,2TQSS@28211|Alphaproteobacteria,3JSBH@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	CP	NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus	nuoL	-	1.6.5.3	ko:K00341	ko00190,ko01100,map00190,map01100	M00144	R11945	RC00061	ko00000,ko00001,ko00002,ko01000	3.D.1	-	-	NADH5_C,Proton_antipo_M,Proton_antipo_N
bll4907	1038862.KB893806_gene3267	3.67e-56	176.0	COG0713@1|root,COG0713@2|Bacteria,1RH0S@1224|Proteobacteria,2U93P@28211|Alphaproteobacteria,3JZE4@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	C	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient	nuoK	GO:0003674,GO:0003824,GO:0003954,GO:0008150,GO:0008152,GO:0016491,GO:0016651,GO:0016655,GO:0050136,GO:0055114	1.6.5.3	ko:K00340	ko00190,ko01100,map00190,map01100	M00144	R11945	RC00061	ko00000,ko00001,ko00002,ko01000	3.D.1	-	-	Oxidored_q2
bll4908	224911.27353173	6.29e-135	384.0	COG0839@1|root,COG0839@2|Bacteria,1MWJV@1224|Proteobacteria,2TRB2@28211|Alphaproteobacteria,3JRMX@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	C	Belongs to the complex I subunit 6 family	nuoJ	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	1.6.5.3	ko:K00339	ko00190,ko01100,map00190,map01100	M00144	R11945	RC00061	ko00000,ko00001,ko00002,ko01000	3.D.1	-	-	Oxidored_q3
bll4909	224911.27353174	1.63e-104	303.0	COG1143@1|root,COG1143@2|Bacteria,1MV90@1224|Proteobacteria,2TRFE@28211|Alphaproteobacteria,3JSYS@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	C	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient	nuoI	GO:0003674,GO:0003824,GO:0003954,GO:0008150,GO:0008152,GO:0016491,GO:0016651,GO:0016655,GO:0050136,GO:0055114	1.6.5.3,1.6.99.3	ko:K00338,ko:K03941	ko00190,ko01100,ko04714,ko04723,ko04932,ko05010,ko05012,ko05016,map00190,map01100,map04714,map04723,map04932,map05010,map05012,map05016	M00143,M00144	R11945	RC00061	ko00000,ko00001,ko00002,ko01000	3.D.1,3.D.1.6	-	-	Fer4
bll4910	224911.27353175	1.25e-242	668.0	COG1005@1|root,COG1005@2|Bacteria,1MU2R@1224|Proteobacteria,2TS09@28211|Alphaproteobacteria,3JRWX@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	C	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient. This subunit may bind ubiquinone	nuoH	GO:0003674,GO:0003824,GO:0003954,GO:0008150,GO:0008152,GO:0016491,GO:0016651,GO:0016655,GO:0050136,GO:0055114	1.6.5.3	ko:K00337	ko00190,ko01100,map00190,map01100	M00144	R11945	RC00061	ko00000,ko00001,ko00002,ko01000	3.D.1	-	-	NADHdh
bll4911	224911.27353176	0.0	1364.0	COG1034@1|root,COG1034@2|Bacteria,1P8MN@1224|Proteobacteria,2TS97@28211|Alphaproteobacteria,3JSCC@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	C	NADH-quinone oxidoreductase	nuoG	-	1.6.5.3	ko:K00336	ko00190,ko01100,map00190,map01100	M00144	R11945	RC00061	ko00000,ko00001,ko00002,ko01000	3.D.1	-	-	Fer2_4,Molybdopterin,NADH-G_4Fe-4S_3,NADH_dhqG_C
bll4912	224911.27353177	0.0	924.0	COG1894@1|root,COG1894@2|Bacteria,1MV8F@1224|Proteobacteria,2TRAH@28211|Alphaproteobacteria,3JRII@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	C	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain	nuoF	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	1.6.5.3	ko:K00335	ko00190,ko01100,map00190,map01100	M00144	R11945	RC00061	ko00000,ko00001,ko00002,ko01000	3.D.1	-	-	Complex1_51K,NADH_4Fe-4S,SLBB
bsl4913	224911.27353178	1.15e-39	131.0	2BIRI@1|root,32CZ2@2|Bacteria,1N7JB@1224|Proteobacteria,2UGKF@28211|Alphaproteobacteria,3K122@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bll4914	1038862.KB893806_gene3274	5.75e-147	413.0	COG1905@1|root,COG1905@2|Bacteria,1MWS2@1224|Proteobacteria,2TSEJ@28211|Alphaproteobacteria,3JU8S@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	C	Thioredoxin-like [2Fe-2S] ferredoxin	nuoE	-	1.6.5.3,1.6.99.3	ko:K00334,ko:K03943	ko00190,ko01100,ko04714,ko04723,ko04932,ko05010,ko05012,ko05016,map00190,map01100,map04714,map04723,map04932,map05010,map05012,map05016	M00143,M00144	R11945	RC00061	ko00000,ko00001,ko00002,ko01000	3.D.1,3.D.1.6	-	-	2Fe-2S_thioredx
bll4915	224911.27353180	6.4e-235	646.0	COG2242@1|root,COG2242@2|Bacteria,1R3Z5@1224|Proteobacteria,2TT0M@28211|Alphaproteobacteria,3JT0E@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	H	Methyltransferase FkbM domain	MA20_37200	-	-	-	-	-	-	-	-	-	-	-	Methyltransf_21
bll4916	224911.27353181	1.34e-302	823.0	COG0649@1|root,COG0649@2|Bacteria,1MVIN@1224|Proteobacteria,2TQZ0@28211|Alphaproteobacteria,3JSWA@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	C	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient	nuoD	GO:0003674,GO:0003824,GO:0003954,GO:0008150,GO:0008152,GO:0016491,GO:0016651,GO:0016655,GO:0050136,GO:0055114	1.6.5.3	ko:K00333	ko00190,ko01100,map00190,map01100	M00144	R11945	RC00061	ko00000,ko00001,ko00002,ko01000	3.D.1	-	-	Complex1_49kDa
bll4917	224911.27353182	5.13e-150	421.0	COG0852@1|root,COG0852@2|Bacteria,1MX4B@1224|Proteobacteria,2TSMT@28211|Alphaproteobacteria,3JT07@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	C	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient	nuoC	GO:0003674,GO:0003824,GO:0003954,GO:0008150,GO:0008152,GO:0016491,GO:0016651,GO:0016655,GO:0050136,GO:0055114	1.6.5.3	ko:K00332	ko00190,ko01100,map00190,map01100	M00144	R11945	RC00061	ko00000,ko00001,ko00002,ko01000	3.D.1	-	-	Complex1_30kDa
bll4918	224911.27353183	6.48e-148	416.0	COG0377@1|root,COG0377@2|Bacteria,1MUI2@1224|Proteobacteria,2TQK3@28211|Alphaproteobacteria,3JTBJ@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	C	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient	nuoB	GO:0003674,GO:0003824,GO:0003954,GO:0008150,GO:0008152,GO:0016491,GO:0016651,GO:0016655,GO:0050136,GO:0055114	1.6.5.3	ko:K00331	ko00190,ko01100,map00190,map01100	M00144	R11945	RC00061	ko00000,ko00001,ko00002,ko01000	3.D.1	-	-	Oxidored_q6
bll4919	1038862.KB893806_gene3279	2.03e-80	238.0	COG0838@1|root,COG0838@2|Bacteria,1RGUT@1224|Proteobacteria,2U72Q@28211|Alphaproteobacteria,3JYST@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	C	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient	nuoA	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	1.6.5.3	ko:K00330	ko00190,ko01100,map00190,map01100	M00144	R11945	RC00061	ko00000,ko00001,ko00002,ko01000	3.D.1	-	-	Oxidored_q4
bll4920	224911.27353185	0.0	1526.0	COG4773@1|root,COG4773@2|Bacteria,1QTT0@1224|Proteobacteria,2TQSQ@28211|Alphaproteobacteria,3JQP4@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	P	TonB dependent receptor	-	-	-	ko:K02014	-	-	-	-	ko00000,ko02000	1.B.14	-	-	Plug,TonB_dep_Rec
bll4921	224911.27353186	2.72e-108	313.0	COG1846@1|root,COG1846@2|Bacteria,1R6ZW@1224|Proteobacteria,2U1UE@28211|Alphaproteobacteria,3JX7K@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	K	helix_turn_helix multiple antibiotic resistance protein	-	-	-	-	-	-	-	-	-	-	-	-	MarR_2
blr4922	224911.27353187	1.11e-309	841.0	COG4638@1|root,COG4638@2|Bacteria,1MX47@1224|Proteobacteria,2TV3I@28211|Alphaproteobacteria,3JS2U@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	P	Rieske [2Fe-2S] domain	-	-	1.14.13.229,1.14.19.48	ko:K21323	-	-	-	-	ko00000,ko01000	-	-	-	Rieske,Ring_hydroxyl_A
blr4923	224911.27353188	2.03e-291	798.0	COG2271@1|root,COG2271@2|Bacteria,1MWYR@1224|Proteobacteria,2TSXW@28211|Alphaproteobacteria,3JTZP@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	G	Transmembrane secretion effector	-	-	-	-	-	-	-	-	-	-	-	-	MFS_1
bll4924	224911.27353189	3.05e-235	646.0	COG2242@1|root,COG2242@2|Bacteria,1R6ZX@1224|Proteobacteria,2U4C2@28211|Alphaproteobacteria,3JXW6@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	H	SEC-C motif	-	-	-	-	-	-	-	-	-	-	-	-	Methyltransf_21,SEC-C
bsr4925	224911.27353190	1.3e-59	184.0	COG0776@1|root,COG0776@2|Bacteria,1MZ5B@1224|Proteobacteria,2UC5G@28211|Alphaproteobacteria,3JZG5@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	L	Belongs to the bacterial histone-like protein family	hupA	-	-	ko:K03530	-	-	-	-	ko00000,ko03032,ko03036,ko03400	-	-	-	Bac_DNA_binding
blr4926	224911.27353191	7.29e-307	835.0	COG2195@1|root,COG2195@2|Bacteria,1MV7D@1224|Proteobacteria,2TRNW@28211|Alphaproteobacteria,3JSXW@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	E	Cleaves the N-terminal amino acid of tripeptides	pepT	-	3.4.11.4	ko:K01258	-	-	-	-	ko00000,ko01000,ko01002	-	-	-	M20_dimer,Peptidase_M20
bll4927	224911.27353192	1.23e-190	530.0	COG1230@1|root,COG1230@2|Bacteria,1MUSS@1224|Proteobacteria,2TQWX@28211|Alphaproteobacteria,3JVSY@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	P	Cation efflux family	-	-	-	-	-	-	-	-	-	-	-	-	Cation_efflux
blr4928	224911.27353193	4.59e-127	362.0	COG1595@1|root,COG1595@2|Bacteria,1MVS7@1224|Proteobacteria,2U0XJ@28211|Alphaproteobacteria,3JUVB@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	K	ECF sigma factor	sigD	-	-	ko:K03088	-	-	-	-	ko00000,ko03021	-	-	-	Sigma70_r2,Sigma70_r4,Sigma70_r4_2
blr4929	224911.27353194	2.92e-145	410.0	COG4944@1|root,COG4944@2|Bacteria,1MXEV@1224|Proteobacteria,2TQKY@28211|Alphaproteobacteria,3JUAS@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	S	Protein of unknown function (DUF1109)	-	-	-	-	-	-	-	-	-	-	-	-	DUF1109
blr4930	224911.27353195	1.62e-76	228.0	2BKIE@1|root,32EZK@2|Bacteria,1N9VM@1224|Proteobacteria,2UFNK@28211|Alphaproteobacteria,3K18Q@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
blr4931	224911.27353196	3.35e-106	307.0	COG0845@1|root,COG0845@2|Bacteria,1RD9V@1224|Proteobacteria,2U7AW@28211|Alphaproteobacteria,3JYZ1@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	M	YtkA-like	-	-	-	-	-	-	-	-	-	-	-	-	YtkA
blr4932	224911.27353197	6.65e-291	800.0	COG0845@1|root,COG0845@2|Bacteria,1MVAS@1224|Proteobacteria,2TTGG@28211|Alphaproteobacteria,3JTB0@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	M	Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family	cusB	-	-	ko:K07798	ko02020,map02020	-	-	-	ko00000,ko00001,ko02000	2.A.6.1.4,8.A.1	-	-	CusF_Ec,HlyD_D23,HlyD_D4
blr4933	224911.27353198	0.0	1978.0	COG3696@1|root,COG3696@2|Bacteria,1NUIV@1224|Proteobacteria,2TRWM@28211|Alphaproteobacteria,3JRIE@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	P	Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family	-	-	-	ko:K07787	ko02020,map02020	-	-	-	ko00000,ko00001,ko02000	2.A.6.1.4	-	-	ACR_tran
blr4934	224911.27353199	3.5e-81	240.0	2C40Q@1|root,2ZYAZ@2|Bacteria,1RJM7@1224|Proteobacteria,2UA26@28211|Alphaproteobacteria,3JZYH@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
blr4935	224911.27353200	1.21e-284	780.0	COG1538@1|root,COG1538@2|Bacteria,1NEZC@1224|Proteobacteria,2TTFK@28211|Alphaproteobacteria,3JQV0@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	MU	Outer membrane efflux protein	MA20_37105	-	-	ko:K15725	-	-	-	-	ko00000,ko02000	1.B.17.2.2	-	-	OEP
blr4936	224911.27353201	1.26e-220	610.0	COG0845@1|root,COG0845@2|Bacteria,1MX8W@1224|Proteobacteria,2TRPM@28211|Alphaproteobacteria,3JQVP@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	M	Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family	MA20_37100	-	-	ko:K15727	-	-	-	-	ko00000,ko02000	8.A.1.2.1	-	-	HlyD_3,HlyD_D23
blr4937	224911.27353202	0.0	1948.0	COG3696@1|root,COG3696@2|Bacteria,1NUIV@1224|Proteobacteria,2TRWM@28211|Alphaproteobacteria,3JRVP@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	P	Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family	MA20_37095	-	-	ko:K15726	-	-	-	-	ko00000,ko02000	2.A.6.1.2	-	-	ACR_tran
blr4938	224911.27353203	1.74e-184	514.0	COG1230@1|root,COG1230@2|Bacteria,1MVQB@1224|Proteobacteria,2TR65@28211|Alphaproteobacteria,3JTI5@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	P	cation efflux	czcD	-	-	ko:K16264	-	-	-	-	ko00000,ko02000	2.A.4.1	-	-	Cation_efflux
bll4939	224911.27353204	1.59e-211	584.0	COG0500@1|root,COG2226@2|Bacteria,1PPKI@1224|Proteobacteria,2TRIB@28211|Alphaproteobacteria,3JRP5@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	Q	ubiE/COQ5 methyltransferase family	MA20_37085	-	-	-	-	-	-	-	-	-	-	-	Methyltransf_11,Methyltransf_25
bll4940	224911.27353205	0.0	1306.0	COG1835@1|root,COG1835@2|Bacteria,1MV2W@1224|Proteobacteria,2TRT8@28211|Alphaproteobacteria,3JVHT@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	I	Function proposed based on presence of conserved amino acid motif, structural feature or limited homology	-	-	-	-	-	-	-	-	-	-	-	-	Acyl_transf_3
bll4941	224911.27353206	5.76e-102	294.0	COG3791@1|root,COG3791@2|Bacteria,1RBIH@1224|Proteobacteria,2U5D0@28211|Alphaproteobacteria,3JY48@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	S	Glutathione-dependent formaldehyde-activating enzyme	-	-	-	-	-	-	-	-	-	-	-	-	GFA
bll4942	224911.27353207	0.0	1530.0	COG0466@1|root,COG0466@2|Bacteria,1MUV2@1224|Proteobacteria,2TR4E@28211|Alphaproteobacteria,3JRVR@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	O	ATP-dependent serine protease that mediates the selective degradation of mutant and abnormal proteins as well as certain short-lived regulatory proteins. Required for cellular homeostasis and for survival from DNA damage and developmental changes induced by stress. Degrades polypeptides processively to yield small peptide fragments that are 5 to 10 amino acids long. Binds to DNA in a double-stranded, site-specific manner	lon	-	3.4.21.53	ko:K01338	ko04112,map04112	-	-	-	ko00000,ko00001,ko01000,ko01002	-	-	-	AAA,LON_substr_bdg,Lon_C
bll4943	1126627.BAWE01000005_gene4781	1.65e-302	825.0	COG1219@1|root,COG1219@2|Bacteria,1MVQK@1224|Proteobacteria,2TS3R@28211|Alphaproteobacteria,3JQY9@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	O	ATP-dependent specificity component of the Clp protease. It directs the protease to specific substrates. Can perform chaperone functions in the absence of ClpP	clpX	GO:0000166,GO:0003674,GO:0003824,GO:0004176,GO:0005488,GO:0005524,GO:0006508,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0008233,GO:0009056,GO:0009057,GO:0009987,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0019538,GO:0030163,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0042623,GO:0043167,GO:0043168,GO:0043170,GO:0044238,GO:0051301,GO:0070011,GO:0071704,GO:0097159,GO:0097367,GO:0140096,GO:1901265,GO:1901363,GO:1901564,GO:1901565,GO:1901575	-	ko:K03544	ko04112,map04112	-	-	-	ko00000,ko00001,ko03110	-	-	-	AAA_2,ClpB_D2-small,zf-C4_ClpX
bll4944	224911.27353209	6.41e-148	416.0	COG0740@1|root,COG0740@2|Bacteria,1MV46@1224|Proteobacteria,2TR5M@28211|Alphaproteobacteria,3JV9B@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	OU	Cleaves peptides in various proteins in a process that requires ATP hydrolysis. Has a chymotrypsin-like activity. Plays a major role in the degradation of misfolded proteins	clpP	-	3.4.21.92	ko:K01358	ko04112,ko04212,map04112,map04212	-	-	-	ko00000,ko00001,ko01000,ko01002	-	-	-	CLP_protease
bll4945	224911.27353210	0.0	866.0	COG0544@1|root,COG0544@2|Bacteria,1MUJP@1224|Proteobacteria,2TS8W@28211|Alphaproteobacteria,3JSQU@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	O	Involved in protein export. Acts as a chaperone by maintaining the newly synthesized protein in an open conformation. Functions as a peptidyl-prolyl cis-trans isomerase	tig	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464	-	ko:K03545	-	-	-	-	ko00000	-	-	-	FKBP_C,Trigger_C,Trigger_N
blr4946	224911.27353211	0.0	865.0	COG2132@1|root,COG2132@2|Bacteria,1MU0J@1224|Proteobacteria,2TQXH@28211|Alphaproteobacteria,3JRZF@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	Q	Multicopper oxidase	-	-	-	-	-	-	-	-	-	-	-	-	Cu-oxidase,Cu-oxidase_2,Cu-oxidase_3
bll4947	224911.27353212	0.0	981.0	COG0062@1|root,COG0063@1|root,COG0062@2|Bacteria,COG0063@2|Bacteria,1MU1Q@1224|Proteobacteria,2TT58@28211|Alphaproteobacteria,3JU34@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	G	Bifunctional enzyme that catalyzes the epimerization of the S- and R-forms of NAD(P)HX and the dehydration of the S-form of NAD(P)HX at the expense of ADP, which is converted to AMP. This allows the repair of both epimers of NAD(P)HX, a damaged form of NAD(P)H that is a result of enzymatic or heat-dependent hydration	nnrD	-	-	-	-	-	-	-	-	-	-	-	Carb_kinase,YjeF_N
blr4948	1038862.KB893806_gene3314	1.04e-71	216.0	COG0347@1|root,COG0347@2|Bacteria,1RGWK@1224|Proteobacteria,2U73Z@28211|Alphaproteobacteria,3JYUA@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	K	Belongs to the P(II) protein family	glnB	GO:0003674,GO:0006808,GO:0008150,GO:0030234,GO:0050789,GO:0050790,GO:0065007,GO:0065009,GO:0098772	-	ko:K04751	ko02020,map02020	-	-	-	ko00000,ko00001	-	-	-	P-II
blr4949	224911.27353214	0.0	967.0	COG0174@1|root,COG0174@2|Bacteria,1MUGQ@1224|Proteobacteria,2TSCR@28211|Alphaproteobacteria,3JTH1@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	E	glutamine synthetase	glnA	-	6.3.1.2	ko:K01915	ko00220,ko00250,ko00630,ko00910,ko01100,ko01120,ko01230,ko02020,ko04217,ko04724,ko04727,map00220,map00250,map00630,map00910,map01100,map01120,map01230,map02020,map04217,map04724,map04727	-	R00253	RC00010,RC02798	ko00000,ko00001,ko01000,ko04147	-	-	-	Gln-synt_C,Gln-synt_N
