,accession,start,end,strand,gene_name,gene_name_2,gene_product,COG,uniprot,operon,regulator
bll7244,BA000040.2,7967744,7968664,-,bll7244,AAV28_RS33255,LysR substrate-binding domain-containing protein,Transcription,Q89E43,Op4718,
bll7249,BA000040.2,7973890,7974666,-,bll7249,AAV28_RS33280,glucose 1-dehydrogenase,Lipid transport and metabolism,Q89E38,Op4721,
bll7251,BA000040.2,7975390,7976184,-,bll7251,AAV28_RS33290,SDR family oxidoreductase,Function unknown,Q89E36,Op4723,
bll7252,BA000040.2,7976251,7976946,-,bll7252,AAV28_RS33295,hemolysin III family protein,Function unknown,Q89E35,Op4724,
bll7255,BA000040.2,7979738,7981672,-,bll7255,,,Cell wall/membrane/envelope biogenesis,,-,
bll7260,BA000040.2,7985928,7986389,-,lrp,AAV28_RS33335,Lrp/AsnC ligand binding domain-containing protein,Transcription,Q89E27,Op4730,
bll7263,BA000040.2,7990828,7992363,-,bll7263,AAV28_RS33350,hypothetical protein,No COG annotation,Q89E24,Op4733,
bll7264,BA000040.2,7992457,7993458,-,bll7264,AAV28_RS33355,hypothetical protein,"Cell cycle control, cell division, chromosome partitioning",,Op4734,
bll7265,BA000040.2,7993858,7994355,-,bll7265,AAV28_RS33360,TPM domain-containing protein,Function unknown,Q89E22,Op4735,
bll7266,BA000040.2,7994361,7995383,-,bll7266,AAV28_RS33365,YgcG family protein,Function unknown,,Op4735,
bll7267,BA000040.2,7995384,7995992,-,bll7267,AAV28_RS33370,LemA family protein,Function unknown,Q89E20,Op4736,
bll7271,BA000040.2,7999674,8002199,-,bll7271,AAV28_RS33390,xanthine dehydrogenase family protein molybdopterin-binding subunit,Energy production and conversion,,Op4738,
bll7272,BA000040.2,8002248,8003123,-,bll7272,AAV28_RS33395,dihydrodipicolinate synthase family protein,Amino acid transport and metabolism,Q89E15,Op4739,
bll7273,BA000040.2,8003180,8004145,-,bll7273,AAV28_RS33400,VOC family protein,Function unknown,Q89E14,Op4740,
bll7276,BA000040.2,8005574,8006848,-,bll7276,AAV28_RS33415,amidohydrolase family protein,Nucleotide transport and metabolism,,Op4742,
bll7277,BA000040.2,8006845,8007936,-,bll7277,AAV28_RS33420,HAMP domain-containing histidine kinase,Signal transduction mechanisms,Q89E10,Op4742,
bll7278,BA000040.2,8007923,8008615,-,bll7278,AAV28_RS33425,response regulator transcription factor,Signal transduction mechanisms,Q89E09,Op4742,
bll7279,BA000040.2,8008716,8009237,-,bll7279,AAV28_RS33430,hypothetical protein,No COG annotation,Q89E08,Op4743,
bll7280,BA000040.2,8009576,8011936,-,bll7280,AAV28_RS33435,RNA-binding transcriptional accessory protein,Transcription,,Op4744,
bll7286,BA000040.2,8016779,8018515,-,poxB,poxB,ubiquinone-dependent pyruvate dehydrogenase,Amino acid transport and metabolism,Q89E01,Op4750,
bll7287,BA000040.2,8018596,8019228,-,dgoA,AAV28_RS33470,2-dehydro-3-deoxy-6-phosphogalactonate aldolase,Carbohydrate transport and metabolism,Q89E00,Op4751,
bll7288,BA000040.2,8019244,8020158,-,dgoK,AAV28_RS33475,2-dehydro-3-deoxygalactonokinase,Carbohydrate transport and metabolism,Q89DZ9,Op4751,
bll7291,BA000040.2,8022268,8024151,-,bll7291,AAV28_RS33490,sigma-54-dependent Fis family transcriptional regulator,Transcription,,Op4754,
bll7292,BA000040.2,8024389,8027706,-,bll7292,AAV28_RS33495,biotin/lipoyl-binding protein,Lipid transport and metabolism,,Op4755,
bll7293,BA000040.2,8027707,8029428,-,bll7293,AAV28_RS33500,AMP-binding protein,Lipid transport and metabolism,Q89DZ4,Op4755,
bll7294,BA000040.2,8029575,8030246,-,bll7294,AAV28_RS33505,aspartate/glutamate racemase family protein,Amino acid transport and metabolism,Q89DZ3,Op4756,
bll7295,BA000040.2,8030259,8031941,-,bll7295,AAV28_RS33510,cache domain-containing protein,Signal transduction mechanisms,Q89DZ2,Op4756,
bll7298,BA000040.2,8033226,8033756,-,bll7298,AAV28_RS33525,TetR/AcrR family transcriptional regulator,Transcription,,Op4758,
bll7302,BA000040.2,8035250,8036143,-,bll7302,AAV28_RS33545,DUF1989 domain-containing protein,Function unknown,,Op4761,
bll7303,BA000040.2,8036158,8037087,-,bll7303,AAV28_RS33550,GTP-binding protein,Function unknown,Q89DY4,Op4762,
bll7304,BA000040.2,8037091,8038710,-,bll7304,AAV28_RS33555,amidohydrolase family protein,"Secondary metabolites biosynthesis, transport, and catabolism",,Op4762,
bll7306,BA000040.2,8039919,8040554,-,bll7306,AAV28_RS33565,response regulator transcription factor,Signal transduction mechanisms,Q89DY1,Op4764,
bll7307,BA000040.2,8040723,8041400,-,bll7307,AAV28_RS33570,response regulator transcription factor,Signal transduction mechanisms,,Op4765,
bll7308,BA000040.2,8041423,8042616,-,bll7308,AAV28_RS33575,ATP-binding protein,Signal transduction mechanisms,Q89DX9,Op4766,
bll7309,BA000040.2,8043275,8044093,-,bll7309,AAV28_RS33580,outer membrane beta-barrel protein,Function unknown,Q89DX8,Op4767,
bll7310,BA000040.2,8044356,8045618,-,arcA,arcA,arginine deiminase,Amino acid transport and metabolism,Q89DX7,Op4768,
bll7311,BA000040.2,8045645,8047078,-,bll7311,AAV28_RS33590,basic amino acid/polyamine antiporter,Amino acid transport and metabolism,Q89DX6,Op4768,
bll7312,BA000040.2,8047222,8050284,-,bll7312,AAV28_RS33595,efflux RND transporter permease subunit,Defense mechanisms,Q89DX5,Op4769,
bll7313,BA000040.2,8050281,8051486,-,bll7313,AAV28_RS33600,efflux RND transporter periplasmic adaptor subunit,Cell wall/membrane/envelope biogenesis,,Op4769,
bll7322,BA000040.2,8057049,8057747,-,bll7322,AAV28_RS33640,Bax inhibitor-1/YccA family protein,Function unknown,Q89DW5,Op4772,
bll7333,BA000040.2,8069713,8072496,-,bll7333,AAV28_RS33710,UPF0182 family protein,Function unknown,Q89DV4,Op4780,
bll7335,BA000040.2,8073126,8073470,-,bll7335,AAV28_RS33725,hypothetical protein,No COG annotation,Q89DV2,Op4781,
bll7340,BA000040.2,8077095,8078369,-,bll7340,AAV28_RS33750,GGDEF domain-containing protein,Signal transduction mechanisms,,Op4784,
bll7341,BA000040.2,8078903,8079514,-,rhtB,AAV28_RS33755,LysE family translocator,Amino acid transport and metabolism,Q89DU7,Op4785,
bll7342,BA000040.2,8079797,8080171,-,bll7342,AAV28_RS33760,response regulator,Signal transduction mechanisms,Q89DU6,Op4786,
bll7344,BA000040.2,8081356,8082162,-,bll7344,AAV28_RS33770,lytic murein transglycosylase,Cell wall/membrane/envelope biogenesis,Q89DU4,Op4788,
bll7347,BA000040.2,8084065,8084514,-,bll7347,,,No COG annotation,,-,
bll7349,BA000040.2,8085311,8087470,-,rpoD,rpoD,RNA polymerase sigma factor RpoD,Transcription,H7C819,Op4793,
bll7350,BA000040.2,8087845,8089845,-,dnaG,dnaG,DNA primase,"Replication, recombination and repair",Q89DT9,Op4794,
bll7352,BA000040.2,8090776,8091174,-,bll7352,AAV28_RS33810,gamma-glutamylcyclotransferase,Function unknown,Q89DT7,Op4796,
bll7353,BA000040.2,8091416,8092315,-,bll7353,AAV28_RS33815,transglutaminase family protein,Amino acid transport and metabolism,Q89DT6,Op4797,
bll7355,BA000040.2,8093231,8094214,-,bll7355,AAV28_RS33825,DUF3592 domain-containing protein,Function unknown,Q89DT4,Op4799,
bll7356,BA000040.2,8094297,8094914,-,bll7356,AAV28_RS33830,LysE family translocator,Amino acid transport and metabolism,Q89DT3,Op4800,
bll7357,BA000040.2,8095142,8095675,-,bll7357,AAV28_RS33835,hypothetical protein,No COG annotation,,Op4801,
bll7358,BA000040.2,8095678,8097171,-,bll7358,AAV28_RS33840,hypothetical protein,Function unknown,,Op4801,
bll7362,BA000040.2,8099197,8100009,-,bll7362,AAV28_RS33865,DUF2189 domain-containing protein,Function unknown,,Op4804,
bll7364,BA000040.2,8102500,8102943,-,bll7364,AAV28_RS33875,hypothetical protein,No COG annotation,Q89DS5,Op4806,
bll7365,BA000040.2,8102946,8103329,-,bll7365,AAV28_RS33880,nuclear transport factor 2 family protein,Function unknown,,Op4806,
bll7366,BA000040.2,8103442,8103909,-,bll7366,AAV28_RS33885,MarR family transcriptional regulator,Transcription,Q89DS3,Op4807,
bll7367,BA000040.2,8103919,8105607,-,bll7367,AAV28_RS33890,acyl-CoA synthetase,Lipid transport and metabolism,,Op4807,
bll7368,BA000040.2,8105792,8106931,-,bll7368,AAV28_RS33895,epoxide hydrolase,Function unknown,Q89DS1,Op4808,
bll7369,BA000040.2,8107086,8107541,-,bll7369,AAV28_RS33900,GatB/YqeY domain-containing protein,Function unknown,Q89DS0,Op4809,
bll7370,BA000040.2,8107575,8108303,-,bll7370,AAV28_RS33905,alpha/beta hydrolase,Lipid transport and metabolism,Q89DR9,Op4809,
bll7374,BA000040.2,8110672,8112057,-,bll7374,,,Inorganic ion transport and metabolism,,-,
bll7375,BA000040.2,8112252,8112713,-,bll7375,AAV28_RS33935,helix-turn-helix transcriptional regulator,Transcription,,Op4815,
bll7379,BA000040.2,8118522,8119076,-,bll7379,AAV28_RS33955,Lrp/AsnC family transcriptional regulator,Transcription,,Op4818,
bll7385,BA000040.2,8123683,8124507,-,bll7385,AAV28_RS33985,ParA family protein,"Cell cycle control, cell division, chromosome partitioning",,Op4824,
bll7386,BA000040.2,8124774,8125313,-,bll7386,AAV28_RS33990,hypothetical protein,No COG annotation,,Op4825,
bll7388,BA000040.2,8126698,8127372,-,tenA,tenA,thiaminase II,Transcription,Q89DQ1,Op4827,
bll7394,BA000040.2,8129497,8129934,-,bll7394,AAV28_RS34020,hypothetical protein,No COG annotation,Q89DP5,Op4832,
bll7395,BA000040.2,8130454,8130888,-,phaP4,AAV28_RS34030,phasin,Function unknown,Q89DP4,Op4833,PhaR
bll7398,BA000040.2,8135270,8136124,-,bll7398,,,Energy production and conversion,,-,
bll7399,BA000040.2,8136155,8136694,-,bll7399,,,Energy production and conversion,,-,
bll7400,BA000040.2,8136969,8138141,-,bll7400,AAV28_RS34045,thiolase family protein,Lipid transport and metabolism,Q89DN9,Op4836,
bll7401,BA000040.2,8138390,8139979,-,serA,serA,phosphoglycerate dehydrogenase,Amino acid transport and metabolism,Q89DN8,Op4837,
bll7402,BA000040.2,8140185,8141357,-,serC,AAV28_RS34055,phosphoserine transaminase,Amino acid transport and metabolism,Q89DN7,Op4837,
bll7403,BA000040.2,8141900,8142364,-,bll7403,AAV28_RS34065,GNAT family N-acetyltransferase,Transcription,Q89DN6,Op4839,
bll7404,BA000040.2,8142381,8142971,-,bll7404,AAV28_RS34070,glutathione S-transferase family protein,"Post-translational modification, protein turnover, and chaperones",Q89DN5,Op4839,
bll7405,BA000040.2,8143047,8143943,-,bll7405,AAV28_RS34075,outer membrane beta-barrel protein,Cell wall/membrane/envelope biogenesis,Q89DN4,Op4840,
bll7406,BA000040.2,8144113,8145015,-,bll7406,AAV28_RS34080,outer membrane beta-barrel protein,Cell wall/membrane/envelope biogenesis,,Op4841,
bll7407,BA000040.2,8145184,8146470,-,fsr,AAV28_RS34085,MFS transporter,Inorganic ion transport and metabolism,,Op4842,
bll7408,BA000040.2,8146690,8148045,-,glmM,glmM,phosphoglucosamine mutase,Carbohydrate transport and metabolism,Q89DN1,Op4843,
bll7410,BA000040.2,8149995,8150657,-,bll7410,AAV28_RS34100,hypothetical protein,No COG annotation,,Op4846,
bll7411,BA000040.2,8150698,8151345,-,bll7411,AAV28_RS34105,hypothetical protein,No COG annotation,,Op4847,
bll7412,BA000040.2,8151390,8152379,-,aroE,AAV28_RS34110,shikimate dehydrogenase,Amino acid transport and metabolism,,Op4848,
bll7413,BA000040.2,8152434,8152814,-,bll7413,,,Inorganic ion transport and metabolism,,-,
bll7414,BA000040.2,8152884,8154932,-,bll7414,AAV28_RS34120,elongation factor G,"Translation, ribosomal structure and biogenesis",Q89DM5,Op4850,
bll7415,BA000040.2,8155083,8155565,-,bll7415,AAV28_RS34125,DUF992 domain-containing protein,Function unknown,Q89DM4,Op4851,
bll7416,BA000040.2,8155738,8156970,-,aatA,AAV28_RS34130,pyridoxal phosphate-dependent aminotransferase,Amino acid transport and metabolism,,Op4852,
bll7417,BA000040.2,8157008,8157496,-,bll7417,,,No COG annotation,,-,
bll7423,BA000040.2,8161443,8161766,-,bll7423,AAV28_RS34160,antibiotic biosynthesis monooxygenase,Function unknown,Q89DL6,Op4859,
bll7424,BA000040.2,8161913,8163136,-,bll7424,AAV28_RS34165,DUF1501 domain-containing protein,Function unknown,,Op4860,
bll7425,BA000040.2,8163133,8164779,-,bll7425,AAV28_RS34170,DUF1800 family protein,Function unknown,,Op4860,
bll7427,BA000040.2,8165143,8165901,-,ligE,AAV28_RS34175,glutathione S-transferase family protein,"Post-translational modification, protein turnover, and chaperones",,Op4862,
bll7429,BA000040.2,8166172,8166951,-,bll7429,AAV28_RS34185,sulfite exporter TauE/SafE family protein,Function unknown,Q89DL0,Op4863,
bll7437,BA000040.2,8177006,8177485,-,bll7437,AAV28_RS34240,MaoC family dehydratase,Lipid transport and metabolism,Q89DK2,Op4875,
bll7438,BA000040.2,8177485,8177976,-,bll7438,AAV28_RS34245,MaoC family dehydratase,Lipid transport and metabolism,,Op4875,
bll7439,BA000040.2,8178520,8179617,-,ychF,ychF,redox-regulated ATPase YchF,"Translation, ribosomal structure and biogenesis",Q89DK0,Op4877,
bll7440,BA000040.2,8179623,8180228,-,pth,pth,aminoacyl-tRNA hydrolase,"Translation, ribosomal structure and biogenesis",Q89DJ9,Op4877,
bll7441,BA000040.2,8180291,8181007,-,rplY,AAV28_RS34265,50S ribosomal protein L25/general stress protein Ctc,"Translation, ribosomal structure and biogenesis",Q89DJ8,Op4878,
bll7452,BA000040.2,8189708,8190298,-,ribH,AAV28_RS34315,6%2C7-dimethyl-8-ribityllumazine synthase,Coenzyme transport and metabolism,,Op4885,
bll7455,BA000040.2,8192636,8193040,-,bll7455,AAV28_RS34330,thioesterase family protein,Function unknown,Q89DI4,Op4888,
bll7457,BA000040.2,8193476,8194996,-,hisS,hisS,histidine--tRNA ligase,"Translation, ribosomal structure and biogenesis",Q89DI2,Op4890,
bll7458,BA000040.2,8195187,8195711,-,bll7458,AAV28_RS34345,DUF2314 domain-containing protein,Function unknown,Q89DI1,Op4891,
bll7459,BA000040.2,8195943,8197025,-,bll7459,AAV28_RS34350,branched-chain amino acid aminotransferase,Amino acid transport and metabolism,Q89DI0,Op4892,
bll7463,BA000040.2,8200094,8200624,-,bll7463,AAV28_RS34370,DUF3617 family protein,No COG annotation,Q89DH6,Op4894,
bll7469,BA000040.2,8203978,8204604,-,bll7469,AAV28_RS34400,porin family protein,Cell wall/membrane/envelope biogenesis,,Op4900,
bll7479,BA000040.2,8213830,8214225,-,bll7479,AAV28_RS34450,response regulator,Signal transduction mechanisms,Q89DG0,Op4905,
bll7487,BA000040.2,8223681,8224118,-,bll7487,AAV28_RS34490,hypothetical protein,No COG annotation,,Op4912,PhaR
bll7492,BA000040.2,8227520,8227837,-,bll7492,AAV28_RS34515,ribbon-helix-helix domain-containing protein,Function unknown,Q89DE7,Op4915,
bll7494,BA000040.2,8229890,8230447,-,rsmD,rsmD,16S rRNA (guanine(966)-N(2))-methyltransferase RsmD,"Replication, recombination and repair",Q89DE5,Op4917,
bll7495,BA000040.2,8230448,8232538,-,bll7495,AAV28_RS34530,pseudouridine synthase,"Translation, ribosomal structure and biogenesis",,Op4917,
bll7497,BA000040.2,8233101,8234006,-,bll7497,AAV28_RS34540,alpha/beta hydrolase,Function unknown,Q89DE2,Op4919,
bll7498,BA000040.2,8234196,8235479,-,purD,purD,phosphoribosylamine--glycine ligase,Nucleotide transport and metabolism,Q89DE1,Op4920,
bll7505,BA000040.2,8240544,8241146,-,bll7505,AAV28_RS34575,hypothetical protein,No COG annotation,,Op4926,
bll7506,BA000040.2,8241343,8242287,-,bll7506,AAV28_RS34580,alpha/beta hydrolase,Lipid transport and metabolism,,Op4927,
bll7509,BA000040.2,8244698,8245612,-,bll7509,AAV28_RS34590,dienelactone hydrolase family protein,"Secondary metabolites biosynthesis, transport, and catabolism",,Op4930,
bll7511,BA000040.2,8245970,8246275,-,bll7511,AAV28_RS34600,hypothetical protein,No COG annotation,Q89DC8,Op4932,PhaR
bll7512,BA000040.2,8246992,8247453,-,bll7512,,,No COG annotation,,-,
bll7513,BA000040.2,8247623,8247958,-,bll7513,AAV28_RS34610,GYD domain-containing protein,Function unknown,Q89DC6,Op4934,
bll7514,BA000040.2,8248195,8249211,-,lpxK,lpxK,tetraacyldisaccharide 4'-kinase,Cell wall/membrane/envelope biogenesis,Q89DC5,Op4935,
bll7515,BA000040.2,8249204,8250550,-,kdtA,AAV28_RS34620,3-deoxy-D-manno-octulosonic acid transferase,Cell wall/membrane/envelope biogenesis,Q89DC4,Op4935,
bll7516,BA000040.2,8250513,8250953,-,bll7516,,,Function unknown,,-,
bll7518,BA000040.2,8251529,8252245,-,bll7518,AAV28_RS34635,3'(2')%2C5'-bisphosphate nucleotidase CysQ,Carbohydrate transport and metabolism,,Op4936,
bll7519,BA000040.2,8252334,8253767,-,bll7519,AAV28_RS34640,TldD/PmbA family protein,Function unknown,,Op4936,
bll7521,BA000040.2,8254619,8255551,-,ubiA,ubiA,4-hydroxybenzoate octaprenyltransferase,Coenzyme transport and metabolism,Q89DB8,Op4938,
bll7522,BA000040.2,8255548,8256207,-,bll7522,AAV28_RS34655,hypothetical protein,No COG annotation,Q89DB7,Op4938,
bll7529,BA000040.2,8262447,8263391,-,bll7529,AAV28_RS34690,L%2CD-transpeptidase,Function unknown,,Op4943,
bll7531,BA000040.2,8264543,8265163,-,bll7531,AAV28_RS34700,hypothetical protein,No COG annotation,,Op4945,
bll7535,BA000040.2,8268982,8269434,-,bll7535,AAV28_RS34720,META domain-containing protein,"Post-translational modification, protein turnover, and chaperones",,Op4948,
bll7536,BA000040.2,8269514,8271178,-,bll7536,AAV28_RS34725,L-lactate permease,Energy production and conversion,Q89DA3,Op4949,
bll7538,BA000040.2,8273547,8274569,-,bll7538,AAV28_RS34735,TorF family putative porin,Function unknown,,Op4951,
bll7539,BA000040.2,8274992,8275345,-,bll7539,AAV28_RS34740,histone,No COG annotation,Q89DA0,Op4952,
bll7540,BA000040.2,8275416,8276738,-,glcF,glcF,glycolate oxidase subunit GlcF,Energy production and conversion,Q89D99,Op4953,
bll7541,BA000040.2,8276735,8277973,-,glcE,AAV28_RS34750,FAD-binding protein,Energy production and conversion,Q89D98,Op4953,
bll7543,BA000040.2,8278766,8280259,-,glcD,AAV28_RS34760,FAD-binding protein,Energy production and conversion,Q89D96,Op4955,
bll7545,BA000040.2,8281018,8282001,-,bll7545,AAV28_RS34770,alpha/beta hydrolase,Lipid transport and metabolism,,Op4957,
bll7547,BA000040.2,8282922,8283578,-,bll7547,AAV28_RS34785,tetratricopeptide repeat protein,Function unknown,,Op4960,
bll7551,BA000040.2,8286270,8287004,-,bll7551,AAV28_RS34805,hypothetical protein,No COG annotation,,Op4964,
bll7553,BA000040.2,8288417,8288860,-,bll7553,AAV28_RS34815,cytochrome c,Energy production and conversion,Q89D88,Op4966,
bll7555,BA000040.2,8290748,8291671,-,bll7555,AAV28_RS34825,LysR substrate-binding domain-containing protein,Transcription,,Op4968,
bll7558,BA000040.2,8294356,8295069,-,bll7558,AAV28_RS34840,hypothetical protein,Signal transduction mechanisms,,Op4971,
bll7559,BA000040.2,8295021,8295617,-,chrC,AAV28_RS34845,superoxide dismutase,Inorganic ion transport and metabolism,Q89D83,Op4971,
bll7562,BA000040.2,8297390,8297734,-,bll7562,AAV28_RS34860,hypothetical protein,No COG annotation,Q89D80,Op4973,
bll7563,BA000040.2,8297831,8298817,-,bll7563,AAV28_RS34865,tripartite tricarboxylate transporter substrate binding protein,Function unknown,Q89D79,Op4974,
bll7565,BA000040.2,8299224,8300159,-,bll7565,AAV28_RS34875,LysR family transcriptional regulator,Transcription,Q89D77,Op4976,
bll7569,BA000040.2,8302802,8303719,-,bll7569,AAV28_RS34895,methyltransferase,"Post-translational modification, protein turnover, and chaperones",,Op4980,
bll7570,BA000040.2,8303767,8304408,-,bll7570,,,Cell wall/membrane/envelope biogenesis,,-,
bll7571,BA000040.2,8304606,8305985,-,bll7571,AAV28_RS34905,O-antigen ligase family protein,Cell wall/membrane/envelope biogenesis,Q89D71,Op4982,
bll7572,BA000040.2,8306031,8307137,-,bll7572,AAV28_RS34910,glycosyltransferase,Cell wall/membrane/envelope biogenesis,,Op4983,
bll7574,BA000040.2,8308340,8309368,-,exoM,AAV28_RS34920,glycosyltransferase,Function unknown,Q89D68,Op4985,
bll7580,BA000040.2,8315584,8319756,-,bll7580,,,Signal transduction mechanisms,,-,
bll7584,BA000040.2,8323248,8323853,-,bll7584,,,Transcription,,-,
bll7588,BA000040.2,8326178,8326633,-,bll7588,AAV28_RS34990,Lrp/AsnC family transcriptional regulator,Transcription,Q89D55,Op4998,
bll7592,BA000040.2,8331789,8332700,-,bll7592,AAV28_RS35015,LysR family transcriptional regulator,Transcription,Q89D53,Op5002,
bll7596,BA000040.2,8336554,8337495,-,bll7596,AAV28_RS35035,D-amino-acid transaminase,Amino acid transport and metabolism,,Op5005,
bll7597,BA000040.2,8337581,8338312,-,bll7597,AAV28_RS35040,amino acid ABC transporter ATP-binding protein,Amino acid transport and metabolism,Q89D48,Op5006,
bll7598,BA000040.2,8338325,8339017,-,bll7598,AAV28_RS35045,ABC transporter permease subunit,Amino acid transport and metabolism,Q89D47,Op5006,
bll7599,BA000040.2,8339022,8339753,-,bll7599,AAV28_RS35050,amino acid ABC transporter permease,Amino acid transport and metabolism,Q89D46,Op5006,
bll7600,BA000040.2,8339881,8340792,-,bll7600,AAV28_RS35055,amino acid ABC transporter substrate-binding protein,Amino acid transport and metabolism,Q89D45,Op5007,
bll7601,BA000040.2,8340892,8342277,-,bll7601,AAV28_RS35060,M20 family metallopeptidase,Amino acid transport and metabolism,Q89D44,Op5008,
bll7604,BA000040.2,8344111,8345772,-,mdlC,,,Amino acid transport and metabolism,,-,
bll7605,BA000040.2,8346308,8346814,-,bll7605,AAV28_RS35080,GFA family protein,Function unknown,Q89D40,Op5012,
bll7606,BA000040.2,8346996,8348123,-,bll7606,AAV28_RS35085,alkene reductase,Energy production and conversion,Q89D39,Op5013,
bll7607,BA000040.2,8348375,8350072,-,bll7607,AAV28_RS35090,aldehyde dehydrogenase family protein,Energy production and conversion,,Op5014,
bll7609,BA000040.2,8351561,8352007,-,bll7609,AAV28_RS35105,Rieske (2Fe-2S) protein,Inorganic ion transport and metabolism,,Op5017,
bll7610,BA000040.2,8351982,8353160,-,bll7610,AAV28_RS35110,amidohydrolase,Inorganic ion transport and metabolism,,Op5017,
bll7611,BA000040.2,8353109,8354173,-,bll7611,AAV28_RS35115,amidohydrolase,Function unknown,Q89D34,Op5017,
bll7613,BA000040.2,8354708,8355403,-,bll7613,AAV28_RS35125,PspA/IM30 family protein,Transcription,Q89D32,Op5018,
bll7617,BA000040.2,8359380,8360723,-,bll7617,AAV28_RS35145,glycoside hydrolase family 3 protein,Carbohydrate transport and metabolism,Q89D28,Op5022,
bll7624,BA000040.2,8368938,8370602,-,bll7624,AAV28_RS35185,adenylate/guanylate cyclase domain-containing protein,Signal transduction mechanisms,,Op5028,
bll7626,BA000040.2,8371790,8372695,-,bll7626,AAV28_RS35195,U32 family peptidase,"Post-translational modification, protein turnover, and chaperones",,Op5030,NnrR
bll7627,BA000040.2,8372743,8373723,-,bll7627,AAV28_RS35200,U32 family peptidase,"Post-translational modification, protein turnover, and chaperones",,Op5031,"NnrR,FixK2"
bll7628,BA000040.2,8373720,8374253,-,bll7628,AAV28_RS35205,SCP2 sterol-binding domain-containing protein,Lipid transport and metabolism,,Op5031,"NnrR,FixK2"
bll7632,BA000040.2,8377064,8377534,-,bll7632,AAV28_RS35225,L-2-amino-thiazoline-4-carboxylic acid hydrolase,Transcription,Q89D13,Op5034,
bll7634,BA000040.2,8378053,8378397,-,bll7634,,,"Replication, recombination and repair",,-,
bll7635,BA000040.2,8379121,8379450,-,bll7635,,,No COG annotation,,-,
bll7636,BA000040.2,8379486,8380349,-,bll7636,AAV28_RS35245,sugar phosphate isomerase/epimerase,Carbohydrate transport and metabolism,,Op5038,
bll7637,BA000040.2,8380356,8381141,-,bll7637,AAV28_RS35250,transporter substrate-binding domain-containing protein,Amino acid transport and metabolism,Q89D08,Op5039,
bll7638,BA000040.2,8381160,8381501,-,bll7638,AAV28_RS44635,cytochrome c,Energy production and conversion,,Op5039,
bll7639,BA000040.2,8381577,8383337,-,bll7639,AAV28_RS35260,PQQ-binding-like beta-propeller repeat protein,Carbohydrate transport and metabolism,,Op5040,
bll7640,BA000040.2,8384546,8385010,-,bll7640,AAV28_RS35270,DUF3147 family protein,Function unknown,Q89D05,Op5042,
bll7641,BA000040.2,8385362,8386027,-,bll7641,AAV28_RS35275,cupin domain-containing protein,Function unknown,,Op5042,
bll7642,BA000040.2,8386572,8387660,-,bll7642,AAV28_RS35280,DUF1236 domain-containing protein,Cell wall/membrane/envelope biogenesis,Q89D03,Op5044,
bll7644,BA000040.2,8388368,8388877,-,bll7644,AAV28_RS35290,PRC-barrel domain-containing protein,Function unknown,Q89D01,Op5046,PhyR
bll7645,BA000040.2,8389261,8390394,-,bll7645,AAV28_RS35295,glycosyltransferase family 4 protein,Cell wall/membrane/envelope biogenesis,Q89D00,Op5047,
bll7646,BA000040.2,8390842,8391273,-,bll7646,AAV28_RS35305,hypothetical protein,No COG annotation,,Op5049,
bll7647,BA000040.2,8393344,8393859,-,bll7647,AAV28_RS35320,inorganic diphosphatase,Energy production and conversion,Q89CZ8,Op5051,
bll7648,BA000040.2,8393942,8394457,-,bll7648,AAV28_RS35325,ferritin-like domain-containing protein,Function unknown,Q89CZ7,Op5052,
bll7654,BA000040.2,8399718,8400128,-,bll7654,,,Function unknown,,-,
bll7657,BA000040.2,8401060,8401746,-,bll7657,AAV28_RS35360,HAD family hydrolase,Function unknown,,Op5059,
bll7658,BA000040.2,8401903,8402280,-,bll7658,AAV28_RS35365,response regulator,Signal transduction mechanisms,Q89CY7,Op5060,
bll7659,BA000040.2,8402387,8402719,-,bll7659,,,Function unknown,,-,
bll7660,BA000040.2,8402797,8403225,-,bll7660,,,No COG annotation,,-,
bll7661,BA000040.2,8403379,8403822,-,bll7661,AAV28_RS35380,hypothetical protein,Carbohydrate transport and metabolism,Q89CY4,Op5063,
bll7663,BA000040.2,8404562,8405224,-,bll7663,AAV28_RS35385,phytochelatin synthase family protein,Function unknown,Q89CY2,Op5064,PhaR
bll7664,BA000040.2,8407719,8409461,-,bll7664,AAV28_RS35400,adenylate/guanylate cyclase domain-containing protein,Signal transduction mechanisms,,Op5069,
bll7668,BA000040.2,8414477,8414827,-,bll7668,,,No COG annotation,,-,
bll7669,BA000040.2,8414991,8415749,-,bll7669,AAV28_RS35430,M23 family metallopeptidase,Cell wall/membrane/envelope biogenesis,,Op5074,
bll7670,BA000040.2,8416019,8417266,-,bll7670,AAV28_RS35435,helix-turn-helix transcriptional regulator,Transcription,,Op5074,
bll7671,BA000040.2,8417280,8418641,-,bll7671,AAV28_RS35440,HlyD family type I secretion periplasmic adaptor subunit,Cell wall/membrane/envelope biogenesis,Q89CX4,Op5075,
bll7672,BA000040.2,8418638,8420404,-,bll7672,AAV28_RS35445,type I secretion system permease/ATPase,Defense mechanisms,,Op5075,
bll7673,BA000040.2,8420476,8421873,-,bll7673,AAV28_RS35450,calcium-binding protein,No COG annotation,,Op5076,
bll7686,BA000040.2,8431196,8431531,-,bll7686,,,No COG annotation,,-,
bll7687,BA000040.2,8431550,8432026,-,bll7687,,,No COG annotation,,-,
